签约日期,中水深蓝合同号,数量,单价,总金额,买方名称,签约日期,销售合同号,销售数量,销售单价,金额（元）,已提数量（KG),已收客户货款（元）,已付中水货款金额（元）,未提数量(KG),提货及付款日期,已提货进销差额(元）,进销差额（元）,地    址,备注
2024/7/12,HT000004334,79.10 ,18000,"1,423,800.00 ",广州农润,2024/7/12,JRX240712-GD,44.00 ,19500,"858,000.00 ",7.00 ,"136,500.00 ","126,000.00 ",33.00 ,,"10,500.00 ","66,000.00 ",广州鼎丰,
2024/7/12,HT000004334,,18000,,广州农润,2024/7/12,JRX240712-GD,,19500,,4.00 ,"78,000.00 ","72,000.00 ",,,"6,000.00 ",,,
2024/7/12,HT000004334,,18000,,广州农润,2024/7/12,JRX240712-GD,,19500,,,,0.00 ,,,0.00 ,,,
2024/7/12,HT000004334,,18000,,广州农润,2024/7/12,JRX240712-GD,,19500,,,,0.00 ,,,0.00 ,,,
2024/7/12,HT000004334,,18000,,上海成凯,2024/7/12,JRX240712-SH（1）,0.10 ,19500,"1,950.00 ",0.10 ,"1,950.00 ","1,800.00 ",,,150.00 ,150.00 ,,
2024/7/12,HT000004334,,18000,,上海成凯,2024/7/12,JRX240712-SH（2）,35.00 ,19000,"665,000.00 ",17.00 ,"323,000.00 ","306,000.00 ",18.00 ,,"17,000.00 ","35,000.00 ",广州鼎丰,青岛自提
2024/7/12,HT000004334,,18000,,上海成凯,2024/7/12,JRX240712-SH（2）,,19000,,,,,,,0.00 ,,广州鼎丰,自提
2024/7/12,HT000004334,,18000,,,,,,19000,,,,,,,,,,
2024/7/12,HT000004334,,18000,,,,,,19000,,,,,,,,,,
2024/7/12,HT000004334,,17500,,海 大,,,,20500,,,,,,,,,买方仓库（具体）,到厂价
2024/7/12,HT000004334,,18000,,,,,,20400,,,,,,,,,广州鼎丰,自提
2024/7/12,HT000004334,,17500,,广州农润,,,,19500,,,,,,,,,荣成广润,自提
2024/7/12,HT000004334,,18000,,广州农润,,,,19800,,,,,,,,,广州鼎丰,
2024/7/12,HT000004334,,17500,,上海成凯,,,,19000,,,,,,,,,荣成广润,青岛自提
2024/7/12,HT000004334,,18000,,上海成凯,,,,19300,,,,,,,,,广州鼎丰,青岛自提
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,"1,524,950.00 ",28.10 ,"539,450.00 ","505,800.00 ",,,"33,650.00 ","101,150.00 ",,